1,['Red Silk Traditional Woven Saree with Paithani Pallu'],['SADC1981'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc1981a-red-silk-traditional-woven-saree-with-paithani-pallu.jpg']
2,['Yellow Silk Woven Saree with Paithani Pallu'],['SADC1976'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc1976a-yellow-silk-woven-saree-with-paithani-pallu.jpg']
3,['Dark Green Silk Traditional Woven Saree'],['SADC1977'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc1977a-dark-green-silk-traditional-woven-saree.jpg']
4,['Light Purple Silk Traditional Saree'],['SADC2027'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc2027a-light-purple-silk-traditional-saree.jpg']
5,['Light Pink Silk Leheriya Saree with Paisley Motifs'],['SADC2028'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc2028a-light-pink-silk-leheriya-saree-with-paisley-motifs.jpg']
6,['Teal Green Silk All Over Woven Saree'],['SADC2019'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc2019a-teal-green-silk-all-over-woven-saree.jpg']
7,['Light Green Raw Silk Woven Saree'],['SADC2206'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc2206a-light-green-raw-silk-woven-saree.jpg']
8,['Grey Raw Silk Woven Saree'],['SADC2211'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc2211a-grey-raw-silk-woven-saree.jpg']
9,['Turquoise Blue Raw Silk Woven Butta Saree'],['SADC2210'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc2210a-rama-blue-raw-silk-woven-butta-saree.jpg']
10,['Teal Green Banarasi Silk Floral Woven Jaal Saree'],['SADC2202'],['https://saree.b-cdn.net/media/catalog/product/cache/519d8b218e842492f4c7bac319cb93d1/s/a/sadc2202a-teal-green-banarasi-silk-floral-woven-jaal-saree.jpg']
